web-scraper-order,web-scraper-start-url,datetime,meeting-type,agenda,agenda-href,agenda-packet,agenda-packet-href,summary,summary-href,minutes,minutes-href
"1558406890-637","http://stjosephcitymi.iqm2.com/Citizens/calendar.aspx?From=1%2f1%2f1900&To=12%2f31%2f9999","Nov 15, 2017 4:00 PM","Water Services Joint Operating Board - Regular","Agenda","http://stjosephcitymi.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1631&Inline=True","Agenda Packet","http://stjosephcitymi.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1631&Inline=True","Summary","http://stjosephcitymi.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1363&Inline=True","Minutes","http://stjosephcitymi.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1363&Inline=True"
"1558406890-472","http://stjosephcitymi.iqm2.com/Citizens/calendar.aspx?From=1%2f1%2f1900&To=12%2f31%2f9999","Jun 15, 2016 4:00 PM","Water Services Joint Operating Board - Regular","null","","null","","null","","null",""
"1558406890-816","http://stjosephcitymi.iqm2.com/Citizens/calendar.aspx?From=1%2f1%2f1900&To=12%2f31%2f9999","Mar 11, 2019 6:00 PM","City Commission - Regular Meeting","Agenda","http://stjosephcitymi.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1784&Inline=True","Agenda Packet","http://stjosephcitymi.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1784&Inline=True","Summary","http://stjosephcitymi.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1522&Inline=True","Minutes","http://stjosephcitymi.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1522&Inline=True"
"1558406890-526","http://stjosephcitymi.iqm2.com/Citizens/calendar.aspx?From=1%2f1%2f1900&To=12%2f31%2f9999","Dec 7, 2016 4:00 PM","Brownfield Redevelopment Authority - Regular Meeting","null","","null","","null","","null",""
"1558406890-880","http://stjosephcitymi.iqm2.com/Citizens/calendar.aspx?From=1%2f1%2f1900&To=12%2f31%2f9999","Aug 29, 2019 9:00 AM","Cemetery Board - Regular","Agenda","http://stjosephcitymi.iqm2.com/Citizens/calendar.aspx?From=1%2f1%2f1900&To=12%2f31%2f9999","Agenda Packet","http://stjosephcitymi.iqm2.com/Citizens/calendar.aspx?From=1%2f1%2f1900&To=12%2f31%2f9999","Summary","http://stjosephcitymi.iqm2.com/Citizens/calendar.aspx?From=1%2f1%2f1900&To=12%2f31%2f9999","Minutes","http://stjosephcitymi.iqm2.com/Citizens/calendar.aspx?From=1%2f1%2f1900&To=12%2f31%2f9999"
"1558406890-589","http://stjosephcitymi.iqm2.com/Citizens/calendar.aspx?From=1%2f1%2f1900&To=12%2f31%2f9999","Jun 28, 2017 12:00 PM","Recreational Harbor Authority - Regular","Agenda","http://stjosephcitymi.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1573&Inline=True","Agenda Packet","http://stjosephcitymi.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1573&Inline=True","Summary","http://stjosephcitymi.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1324&Inline=True","Minutes","http://stjosephcitymi.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1324&Inline=True"
"1558406890-303","http://stjosephcitymi.iqm2.com/Citizens/calendar.aspx?From=1%2f1%2f1900&To=12%2f31%2f9999","Oct 22, 2014 12:00 PM","Recreational Harbor Authority - Regular","Agenda","http://stjosephcitymi.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1150&Inline=True","Agenda Packet","http://stjosephcitymi.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1150&Inline=True","Summary","http://stjosephcitymi.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1093&Inline=True","Minutes","http://stjosephcitymi.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1093&Inline=True"
"1558406890-336","http://stjosephcitymi.iqm2.com/Citizens/calendar.aspx?From=1%2f1%2f1900&To=12%2f31%2f9999","Mar 5, 2015 4:30 PM","Planning Commission - Regular","Agenda","http://stjosephcitymi.iqm2.com/Citizens/calendar.aspx?From=1%2f1%2f1900&To=12%2f31%2f9999","Agenda Packet","http://stjosephcitymi.iqm2.com/Citizens/calendar.aspx?From=1%2f1%2f1900&To=12%2f31%2f9999","Summary","http://stjosephcitymi.iqm2.com/Citizens/calendar.aspx?From=1%2f1%2f1900&To=12%2f31%2f9999","Minutes","http://stjosephcitymi.iqm2.com/Citizens/calendar.aspx?From=1%2f1%2f1900&To=12%2f31%2f9999"
"1558406890-856","http://stjosephcitymi.iqm2.com/Citizens/calendar.aspx?From=1%2f1%2f1900&To=12%2f31%2f9999","Jun 26, 2019","Recreational Harbor Authority - Regular","Agenda","http://stjosephcitymi.iqm2.com/Citizens/calendar.aspx?From=1%2f1%2f1900&To=12%2f31%2f9999","Agenda Packet","http://stjosephcitymi.iqm2.com/Citizens/calendar.aspx?From=1%2f1%2f1900&To=12%2f31%2f9999","Summary","http://stjosephcitymi.iqm2.com/Citizens/calendar.aspx?From=1%2f1%2f1900&To=12%2f31%2f9999","Minutes","http://stjosephcitymi.iqm2.com/Citizens/calendar.aspx?From=1%2f1%2f1900&To=12%2f31%2f9999"
"1558406890-709","http://stjosephcitymi.iqm2.com/Citizens/calendar.aspx?From=1%2f1%2f1900&To=12%2f31%2f9999","Jun 20, 2018 4:00 PM","Water Services Joint Operating Board - Regular","Agenda","http://stjosephcitymi.iqm2.com/Citizens/FileOpen.aspx?Type=14&ID=1690&Inline=True","Agenda Packet","http://stjosephcitymi.iqm2.com/Citizens/FileOpen.aspx?Type=1&ID=1690&Inline=True","Summary","http://stjosephcitymi.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1440&Inline=True","Minutes","http://stjosephcitymi.iqm2.com/Citizens/FileOpen.aspx?Type=12&ID=1440&Inline=True"
